family	total_family_hits	V01	V02	V03	V04	V05	V06	V07	V08	V09	V10	V11	V12	V13	V14	A1
BINDING	233	10	15	12	9	29	22	12	18	15	19	11	19	6	29	7
ROLE_IDENTITY	833	50	35	29	46	65	82	87	45	127	50	35	49	44	56	33
DEAD_MEMORY	1070	107	69	68	114	106	57	61	64	48	113	32	39	79	60	53
BOND_WISH_PRAYER	233	15	7	9	12	13	29	20	18	27	30	9	11	18	10	5
WOUND	663	25	43	40	33	46	85	22	33	85	51	32	32	41	80	15
CHOICE_CHANGE	644	25	35	42	49	52	32	26	31	38	52	51	46	107	42	16
EXCLUSIVITY	284	4	8	24	18	22	20	13	32	42	27	12	15	22	17	8
PRIDE	197	3	2	1	9	20	22	5	41	57	3	15	7	9	2	1
INHERIT	77	0	2	0	5	8	8	4	11	10	9	3	7	4	5	1
CURSE	72	0	1	0	2	4	7	2	4	20	0	1	3	26	2	0

total_family_hits	4306
unique_primary_source_paragraphs_matching_any_family	3936
retained_context_reread_items	123
