logical_id	scope	role	sample_count	mean_luma	luma_std	mean_saturation	saturation_std	mean_inter_sample_change	p90_inter_sample_change
LILJA-P01	白線	3dmv	10	0.16620829929193898	0.09044722940163914	0.48021668411288126	0.17080663005491895	0.17294663018563908	0.22209607758033773
LILJA-P02	白線	official_mv	8	0.7185644212111928	0.060090692557917866	0.316094970703125	0.06467498208253719	0.21008500622471213	0.2352824584694989
LILJA-P03	Campus mode!!	3dmv	8	0.26887067408343546	0.11095124503306804	0.34392026016135624	0.1366160734824255	0.24087488511029415	0.346517373876634
LILJA-P04	極光	3dmv	8	0.2129390409049905	0.10859147305536652	0.36281205054721544	0.17168139248441083	0.2355335775803377	0.29682617187500004
LILJA-P05	Atmosphere	3dmv	12	0.3090284426487609	0.13566667787727998	0.4437453281732254	0.17722213976413906	0.23202353266117057	0.34312597869008715
LILJA-P06	Atmosphere	official_mv	12	0.26402844087577165	0.1320576528900625	0.5182807872497958	0.17658494883178158	0.17827304138195682	0.22564529718137255
LILJA-P07	ときめきエモーション / REVERSI	3dmv	12	0.22292932581018518	0.1340168989714533	0.44469691811909956	0.1699735846972013	0.21953349363735394	0.2983446308210784
LILJA-P08	ときめきエモーション / REVERSI	official_mv	12	0.12893553978304287	0.09481539316851106	0.5419263652726716	0.12340908473473682	0.14417229703592296	0.26297115417347494
LILJA-P09	ガラクタロード	3dmv	8	0.33397720769080197	0.09392077000984499	0.49411827203754766	0.06277770248318026	0.23015183069755676	0.2674328533496732
LILJA-P10	ENDLESS DANCE	3dmv	8	0.24287528243719364	0.06761679889041276	0.5032155820227396	0.0946348851294619	0.23177601552773888	0.25977958197167755
LILJA-P11	Howling over the World	3dmv	6	0.18002685014978215	0.04200391074207627	0.5815253097766884	0.06994403423755347	0.1703480307053377	0.20904977702886712
