source_id	role	canonical	duration_seconds	global_rms_dbfs	peak_dbfs	median_window_rms_dbfs	p10_window_rms_dbfs	p90_window_rms_dbfs	p10_p90_dynamic_span_db	near_silence_fraction_below_minus35_dbfs	very_quiet_fraction_below_minus45_dbfs	filename
AV-CHINA-001	Dear 001-010	True	3011.883537	-32.41785808627754	-8.068970789470585	-34.0134619560324	-44.538814777772934	-28.815082277097876	15.723732500675059	0.43691899070385126	0.09229747675962816	【学マス】倉本千奈　親愛度１～１０話【アイドルコミュ】-(720p30).mp4
AV-CHINA-002	Dear 011-020 / N.I.A.	True	2710.976145	-23.2128655839671	-3.7540572741452403	-23.933747683617533	-34.45043634149301	-19.968194937700705	14.482241403792305	0.09295462928808558	0.01733677609738104	【学マス】倉本千奈　親愛度１１～２０話【アイドルコミュ】-(720p30).mp4
AV-CHINA-003	Dear 021-027 / STEP3 election	True	2948.028662	-26.483919727030575	-2.665775043276879	-27.07056529836796	-34.53528697770639	-23.559196080758632	10.97609089694776	0.0929128518141743	0.030179721939640556	【学マス】倉本千奈  親愛度コミュ21～27話まとめ【STEP3】-(480p30).mp4
AV-CHINA-004	Dear 028-037 / STEP4 H.I.F.	True	4024.691519	-25.929428932341672	-5.830258292794717	-27.112044941534425	-36.81905827333459	-22.88297726872107	13.93608100461352	0.1413664596273292	0.020124223602484472	【学マス】 倉本千奈 親愛度コミュ28～37話まとめ【H.I.F編】【STEP4】-(480p30).mp4
AV-CHINA-005	Wonder Scale song commu	True	521.195102	-25.008624474143467	-4.684239490637603	-26.99919844727404	-37.613063267486446	-20.916896724770375	16.69616654271607	0.1724137931034483	0.011494252873563218	【楽曲コミュ】Wonder Scale【倉本千奈】【学マス】-(1080p30).mp4
AV-CHINA-006	日々、発見的ステップ！ song commu	True	424.90195	-23.38695593342915	-4.797243888843136	-24.155522174843643	-30.151423661882855	-20.355749035748502	9.795674626134353	0.021176470588235293	0.007058823529411765	【楽曲コミュ】日々、発見的ステップ！【倉本千奈】【学マス】-(1080p30).mp4
AV-CHINA-007	雪解けに family-history song commu	True	572.325442	-26.766624949991726	-9.016844296581828	-27.77209748837066	-35.72361991824935	-23.69063890954644	12.032981008702908	0.11867364746945899	0.008726003490401396	【雪解けに】倉本千奈 楽曲コミュまとめ【学マス】-(1080p60).mp4
AV-CHINA-008	Campus mode!! song commu	True	672.891066	-22.938436680410724	-4.555203020472852	-23.38379937058675	-30.999302146709624	-19.944315859441645	11.05498628726798	0.03863298662704309	0.008915304606240713	【楽曲コミュ】Campus mode!!【倉本千奈】【学マス】-(1080p30).mp4
AV-CHINA-009	空と約束 song commu	True	595.893696	-26.064968163217607	-8.860324179826602	-26.543198080262236	-31.965682819916932	-23.316120749642646	8.649562070274285	0.04865771812080537	0.006711409395973154	【空と約束】倉本千奈  楽曲コミュまとめ【学マス】-(1080p60).mp4
AV-CHINA-010	みちなるひろがる / ゆめぱしー song commu	True	615.444898	-26.144349896059303	-8.076356465022355	-26.880645226746402	-34.81935396748773	-23.169215631405642	11.650138336082087	0.09902597402597403	0.003246753246753247	【みちなるひろがる】倉本千奈  楽曲コミュまとめ【学マス】-(1080p60).mp4
AV-CHINA-011	Wonder Scale 3DMV	True	177.980952	-18.202940728540995	-1.368940729871111	-19.22019725019465	-27.65170311184731	-14.644235060743641	13.00746805110367	0.06741573033707865	0.056179775280898875	4K HDR「Wonder Scale」(歌：倉本千奈)【学マス⧸学園アイドルマスタ⧸Gakumas MV】-(2160p60).mp4
AV-CHINA-012	Wonder Scale official MV	True	273.345306	-12.676561339523849	-1.6611590035958754	-12.577476946608535	-17.663959614440508	-10.552312238366614	7.111647376073893	0.032846715328467155	0.01824817518248175	初星学園 「Wonder Scale」Official Music Video (HATSUBOSHI GAKUEN - Wonder Scale)-(1080p24).mp4
AV-CHINA-013	日々、発見的ステップ！ 3DMV	True	187.268934	-18.754644594606237	-1.6198562454403982	-18.203596732007824	-28.81638552909352	-16.281180277354014	12.535205251739505	0.07446808510638298	0.05319148936170213	4K HDR「日々、発見的ステップ！」(歌：倉本千奈 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-014	空と約束 STEP3 3DMV	True	173.545941	-19.01060563144179	-1.1819817443580027	-21.43746724499778	-35.8778481719054	-15.698535826487996	20.1793123454174	0.11494252873563218	0.05172413793103448	4K HDR「空と約束」 (倉本千奈 STEP3 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-015	Campus mode!! 3DMV	True	160.357007	-18.16140210300614	-2.2328664882459077	-17.866687571948674	-25.80910007119199	-16.689601476843688	9.1194985943483	0.07453416149068323	0.06832298136645963	4K HDR「Campus mode!!」(倉本千奈 フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
