source_id	role	duration_seconds	tempo_estimate_bpm	median_spectral_centroid_hz	median_rolloff_85_hz	median_spectral_bandwidth_hz	median_zero_crossing_rate	median_frame_rms_dbfs	onset_count	onset_rate_per_second	dominant_mean_chroma_class	filename
AV-CHINA-011	Wonder Scale 3DMV	177.980952	110.29411764705883	765.5476370996972	1250.0	570.031727701713	0.22287390029325513	-19.664464811533183	410	2.303617299451236	C#	4K HDR「Wonder Scale」(歌：倉本千奈)【学マス⧸学園アイドルマスタ⧸Gakumas MV】-(2160p60).mp4
AV-CHINA-012	Wonder Scale official MV	273.345306	110.29411764705883	592.716902610654	1101.5625	601.9764416740443	0.18963831867057673	-12.729102072676389	572	2.0925912662279265	C#	初星学園 「Wonder Scale」Official Music Video (HATSUBOSHI GAKUEN - Wonder Scale)-(1080p24).mp4
AV-CHINA-013	日々、発見的ステップ！ 3DMV	187.268934	144.23076923076923	913.9427581644337	1468.75	615.4050568280338	0.24926686217008798	-19.338568538637475	537	2.8675338110270867	F#	4K HDR「日々、発見的ステップ！」(歌：倉本千奈 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-014	空と約束 STEP3 3DMV	173.545941	72.11538461538461	669.6008831061099	1179.6875	620.5459733559089	0.20821114369501467	-20.898607443200845	389	2.241481406931897	A#	4K HDR「空と約束」 (倉本千奈 STEP3 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-015	Campus mode!! 3DMV	160.357007	125.0	830.6673281152673	1453.125	700.6497458897347	0.24437927663734116	-18.1124693881955	324	2.0204916895212444	B	4K HDR「Campus mode!!」(倉本千奈 フェスSSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-016	みちなるひろがる China/Hiro 3DMV	154.505578	91.46341463414635	257.76711778193646	437.5	390.98365941113514	0.10263929618768329	-16.405759918842158	480	3.1066839541547164	A	4K HDR「みちなるひろがる」 (篠澤広・倉本千奈 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-017	みちなるひろがる official MV	205.334059	91.46341463414635	464.5559193752487	796.875	515.8374603446125	0.1573802541544477	-11.353586362002144	387	1.8847335989203817	B	初星学園 「みちなるひろがる」Official Music Video (HATSUBOSHI GAKUEN - Unknown Unbound)-(1080p30).mp4
AV-CHINA-018	ときめきのソルフェージュ official MV	199.64517	72.11538461538461	774.1288934797285	1335.9375	715.8554702341341	0.23949169110459434	-16.15373754621054	468	2.3441588894937953	A	初星学園 「ときめきのソルフェージュ」Official Music Video (HATSUBOSHI GAKUEN - Fantasy Solfege)-(1080p24).mp4
AV-CHINA-019	がむしゃらに行こう！ range test	109.830385	133.92857142857142	575.542252285197	1101.5625	650.0842943176266	0.19550342130987292	-18.46652329265366	187	1.7026253709299115	A	4K HDR「がむしゃらに行こう！」 (倉本千奈 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-020	ENDLESS DANCE range test	109.435646	75.0	656.6191601725816	1484.375	839.436529204125	0.2238514173998045	-16.26318304229923	190	1.7361801839228874	A	4K HDR「ENDLESS DANCE」(倉本千奈 SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
AV-CHINA-021	Howling over the World range test	111.316463	98.6842105263158	764.8104661152339	1625.0	795.1123211799498	0.24633431085043989	-18.74168843010168	295	2.650102168625318	A	4K HDR「Howling over the World」 (倉本千奈 ソロ SSR)【学マス⧸学園アイドルマスタ⧸Gakuen idolm@ster MV】-(1080p60).mp4
