keyframe_id	id	class	role	canonical	sample_count	mean_value	mean_saturation	mean_dark_fraction	mean_bright_fraction	mean_edge_fraction	mean_inter_sample_absolute_difference
CHINA-D01	AV-CHINA-001	dear_compilation	Dear 001-010	True	48	0.2575396563236912	0.0750202777562663	0.6878147754854368	0.14331418133090615	0.05195976183252427	0.06143679695223716
CHINA-D02	AV-CHINA-002	dear_compilation	Dear 011-020 / N.I.A.	True	48	0.6615637910241882	0.3237043695213894	0.15311425465210354	0.5161164416464401	0.09179466272249191	0.0673330476745329
CHINA-D03	AV-CHINA-003	dear_compilation	Dear 021-027 / STEP3 election	True	48	0.6186338185022274	0.2974618279840797	0.13057778367718445	0.36561741504854367	0.16236157463592235	0.09469594893620369
CHINA-D04	AV-CHINA-004	dear_compilation	Dear 028-037 / STEP4 H.I.F.	True	48	0.6290501444988573	0.4754934298495452	0.18330172936893205	0.4524470949635922	0.11606650738268609	0.08072917992645438
CHINA-C01	AV-CHINA-005	song_communication	Wonder Scale song commu	True	24	0.5961037874221802	0.2925403341650963	0.1675654834142395	0.3648121460355987	0.17038961367313912	0.058116011888436646
CHINA-C02	AV-CHINA-006	song_communication	日々、発見的ステップ！ song commu	True	24	0.6084870373209318	0.2902796156704426	0.14971113976537218	0.35776446197411005	0.1745550161812298	0.06278417114694805
CHINA-C03	AV-CHINA-007	song_communication	雪解けに family-history song commu	True	24	0.5725876192251841	0.231794078523914	0.12152546015372168	0.26984476132686086	0.09571134203074434	0.03616853685968596
CHINA-C04	AV-CHINA-008	song_communication	Campus mode!! song commu	True	24	0.6054563348491987	0.2766019788881143	0.15220848503236248	0.3753564927184467	0.1842675465210356	0.06259851088828366
CHINA-C05	AV-CHINA-009	song_communication	空と約束 song commu	True	25	0.6120129203796387	0.2904640877246857	0.1262083072960327	0.35419101694075683	0.1788559768941184	0.061207934360330306
CHINA-C06	AV-CHINA-010	song_communication	みちなるひろがる / ゆめぱしー song commu	True	18	0.6351288225915697	0.22905022568172878	0.12686202686202683	0.35268075178789465	0.18923665620094188	0.0472557175466243
CHINA-P01	AV-CHINA-011	rendered_performance	Wonder Scale 3DMV	True	11	0.20229135860096326	0.4728202359242873	0.6095565149136578	0.04173861852433281	0.05700906236620522	0.11786095201969146
CHINA-MV01	AV-CHINA-012	authored_official_mv	Wonder Scale official MV	True	12	0.49369061303635436	0.48184620464841527	0.20624127094972067	0.1967280609869646	0.06462406890130352	0.23694365539334036
CHINA-P02	AV-CHINA-013	rendered_performance	日々、発見的ステップ！ 3DMV	True	12	0.47840844591458637	0.38340863585472107	0.2956383845437617	0.29768243715083803	0.1207227653631285	0.23437198590148578
CHINA-P03	AV-CHINA-015	rendered_performance	Campus mode!! 3DMV	True	12	0.3017960824072361	0.493270439406236	0.44565147811918066	0.07723900139664804	0.069262104283054	0.1664707443930886
CHINA-P04	AV-CHINA-014	rendered_performance	空と約束 STEP3 3DMV	True	8	0.4565755072981119	0.5214055255055428	0.31567082751396647	0.25877924231843574	0.07123996159217877	0.19439243844577245
CHINA-P05	AV-CHINA-016	rendered_performance	みちなるひろがる China/Hiro 3DMV	True	8	0.448955774307251	0.4562397114932537	0.34986688198324023	0.28499694483240223	0.09958537011173185	0.23925720368112838
CHINA-MV02	AV-CHINA-017	authored_official_mv	みちなるひろがる official MV	True	8	0.39595082454616204	0.3399369517574087	0.3132987081005587	0.1862473812849162	0.03561234287709497	0.3065422134740012
CHINA-MV03	AV-CHINA-018	authored_official_mv	ときめきのソルフェージュ official MV	True	8	0.7690317742526531	0.3723764829337597	0.031119064245810055	0.5603548358938547	0.08470888617318437	0.2674115683351244
CHINA-P06	AV-CHINA-019	rendered_performance	がむしゃらに行こう！ range test	True	8	0.6111465245485306	0.5062096938490868	0.2553072625698324	0.48575200768156424	0.09988434008379889	0.2026961190359933
CHINA-P07	AV-CHINA-020	rendered_performance	ENDLESS DANCE range test	True	8	0.2828922951593995	0.6935287229716778	0.5272368191340782	0.10175453910614525	0.05322538407821229	0.1582362332514354
CHINA-P08	AV-CHINA-021	rendered_performance	Howling over the World range test	True	8	0.2426176421577111	0.35153786512091756	0.6057371682960894	0.08495329958100559	0.059684881284916204	0.19388527742453984
CHINA-S01	AV-CHINA-S01	supplemental_excerpt	Dear 021 Kanae excerpt; duplicate scene aid	False	8	0.7113150432705879	0.3117579407989979	0.002826030027932961	0.3977959148044693	0.19716087639664803	0.06202069749789579
