source_id	logical_identity	duration_seconds	global_rms_dbfs	sample_peak_dbfs	one_second_rms_p10_dbfs	one_second_rms_median_dbfs	one_second_rms_p90_dbfs	one_second_dynamic_span_p90_minus_p10_db	one_second_near_silence_percent_below_minus45_dbfs	one_second_count
AV-UME-001	dear_001_010	3163.509841	-29.215799580158787	-6.084451386594715	-38.531191842954954	-30.014179672796672	-25.77655153773306	12.754640305221894	2.8128950695322374	3164
AV-UME-002	dear_011_020	2506.106485	-23.770321534796444	-4.998963298409843	-32.61598509682213	-24.357943958751864	-20.96169499638692	11.654290100435208	1.7151974471479856	2507
AV-UME-003	dear_021_027	2938.0	-26.89206003179529	-6.662417886860251	-36.535174131832505	-27.71812937482628	-23.69650612828138	12.838668003551124	2.450646698434309	2938
AV-UME-004	dear_028_037	3335.128526	-25.994629751308036	-5.8588311784009335	-35.96544294676528	-27.310005808394322	-23.055605349265726	12.909837597499553	1.6786570743405276	3336
AV-UME-005	song_commu_the_rolling_riceball	335.992744	-23.667607338617515	-5.13529544704491	-30.85839746024243	-24.515063815321327	-20.766369059055677	10.092028401186752	1.488095238095238	336
AV-UME-006	song_commu_gooseypy	728.293878	-26.453118654848677	-8.475659547280669	-34.50225808098107	-26.949752003058375	-23.498768878247404	11.003489202733668	0.6858710562414266	729
AV-UME-007	song_commu_white_page_watercolor_protagonist	502.503039	-26.69613670381039	-6.91374716113606	-35.00292878789664	-27.662180351792625	-23.635843624812313	11.36708516308433	1.3916500994035785	503
AV-UME-008	song_commu_campus_mode	761.103673	-23.53801058089031	-4.797243888843136	-29.200790084237756	-23.86095261050423	-20.783018661247855	8.417771422989901	1.3123359580052494	762
AV-UME-009	song_commu_go_my_way	472.595737	-26.306637674681454	-7.142352065014742	-34.28600592657768	-27.006164389469856	-23.61916171871957	10.666844207858109	0.8456659619450317	473
AV-UME-010	the_rolling_riceball_3dmv	157.709932	-18.276150584835037	-1.7709694375610983	-24.37610149792118	-17.808854269207835	-16.420235360135795	7.955866137785385	6.329113924050633	158
AV-UME-011	the_rolling_riceball_official_mv	191.936145	-12.060942936765933	-0.00026507636037961915	-16.256497675876208	-11.659466395261067	-10.741190205632742	5.5153074702434655	3.6458333333333335	192
AV-UME-012	gooseypy_3dmv	184.38966	-17.973267735357297	-1.530560820967539	-28.053108670725344	-17.351780684224625	-15.836445629451571	12.216663041273772	5.405405405405405	185
AV-UME-013	gooseypy_full_song_video_asset	181.52	-13.20550390375126	-0.8008054709349925	-17.699711101030015	-12.896363513320596	-11.74896093394999	5.950750167080026	3.296703296703297	182
AV-UME-014	white_page_watercolor_protagonist_official_mv	226.139138	-11.416816680295604	-0.17619258786430858	-13.193851590154917	-11.083970275765484	-10.59835853706045	2.595493053094467	1.762114537444934	227
AV-UME-015	campus_mode_3dmv	160.960726	-18.57193684526179	-2.2740970544531023	-26.25964911586714	-18.35303016018131	-17.336404405650722	8.92324471021642	6.211180124223603	161
AV-UME-016	go_my_way_3dmv	143.31356	-17.274531600728544	-1.6329621997223471	-26.91652748421326	-16.751756003819956	-15.825857716161945	11.090669768051313	6.25	144
AV-UME-017	tsuyotsuyo_saikyo_exercise_official_lyric_video	143.638639	-12.019338874007577	-0.00026507636037961915	-16.37312152544938	-11.50646608001254	-10.335938864154912	6.0371826612944695	0.6944444444444444	144
AV-UME-018	tsuyotsuyo_saikyo_exercise_full_song_asset	184.516009	-11.863428678401133	-0.00026507636037961915	-16.124803432622464	-11.360290276417675	-10.20630389269244	5.918499539930025	1.6216216216216217	185
AV-UME-019	endless_dance_3dmv	109.714286	-17.050599420399845	-1.636481798467159	-73.15661758077381	-16.525473779761874	-15.526803573613268	57.62981400716055	11.818181818181818	110
AV-UME-020	howling_over_the_world_3dmv	111.757642	-18.115892071729434	-1.6698286784520924	-55.45190416086391	-17.286925941245613	-16.021778819443472	39.430125341420435	11.607142857142858	112
AV-UME-021	miracle_nanau_3dmv	115.333515	-19.257766978856328	-2.51150753137465	-77.81166469687727	-19.409931362963896	-16.10123385598073	61.71043084089654	13.793103448275861	116
